Quality;Description
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'AaronMooy==1', 'TomSmith==1', 'ChristopherSchindler==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'AaronMooy==1', 'TomSmith==1', 'ChristopherSchindler==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'LaurentDepoitre==1', 'TomSmith==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'LaurentDepoitre==1', 'TomSmith==1', 'JonasLössl==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'LaurentDepoitre==1', 'TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'LaurentDepoitre==1', 'TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'LaurentDepoitre==1', 'TomSmith==1', 'ChristopherSchindler==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'LaurentDepoitre==1', 'TomSmith==1', 'ChristopherSchindler==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'AaronMooy==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'AaronMooy==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'JonasLössl==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'JonasLössl==1', 'AaronMooy==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'ChristopherSchindler==1', 'AaronMooy==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'ChristopherSchindler==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'JonasLössl==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'JonasLössl==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['JonasLössl==1', 'TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['JonasLössl==1', 'TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['MathiasJattahNjieJørgensen==1', 'TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['MathiasJattahNjieJørgensen==1', 'TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['ChristopherSchindler==1', 'TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['ChristopherSchindler==1', 'TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'AaronMooy==1', 'JonasLössl==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'AaronMooy==1', 'JonasLössl==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'AaronMooy==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'AaronMooy==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'TomSmith==1', 'JonasLössl==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'TomSmith==1', 'JonasLössl==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'TomSmith==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'TomSmith==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'JonasLössl==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'JonasLössl==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'ChristopherSchindler==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'ChristopherSchindler==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['JonasLössl==1', 'TomSmith==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['JonasLössl==1', 'TomSmith==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['MathiasJattahNjieJørgensen==1', 'TomSmith==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['MathiasJattahNjieJørgensen==1', 'TomSmith==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['ChristopherSchindler==1', 'TomSmith==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['ChristopherSchindler==1', 'TomSmith==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'ChristopherSchindler==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'JonasLössl==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'JonasLössl==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'JonasLössl==1', 'ChristopherSchindler==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'JonasLössl==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'ChristopherSchindler==1', 'JonasLössl==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'ChristopherSchindler==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'JonasLössl==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'JonasLössl==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['JonasLössl==1', 'TomSmith==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['JonasLössl==1', 'TomSmith==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['MathiasJattahNjieJørgensen==1', 'TomSmith==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['MathiasJattahNjieJørgensen==1', 'TomSmith==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['ChristopherSchindler==1', 'TomSmith==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['ChristopherSchindler==1', 'TomSmith==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'JonasLössl==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'JonasLössl==1', 'LaurentDepoitre==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'AaronMooy==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'AaronMooy==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'TomSmith==1', 'AaronMooy==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'AaronMooy==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'TomSmith==1', 'LaurentDepoitre==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'TomSmith==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'TomSmith==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'AaronMooy==1', 'TomSmith==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'AaronMooy==1', 'TomSmith==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['LaurentDepoitre==1', 'AaronMooy==1', 'TomSmith==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['AaronMooy==1', 'LaurentDepoitre==1', 'TomSmith==1', 'JonasLössl==1']
